,tweet__id,tweet__text,user__username,tag__title,relevant,2 - Neutral,2 - Against,2 - In favor,3 - Yes
0,1237024704948580360,"@nycsouthpaw Makes me want joe even less than I did.  Shame on you, floating Jamie Dimon and climate change together, it’s an oxymoron.",mala,Large sample of climate tweets,1,0,1,0,0
1,1161294498510491648,"@Only1Franchini @_vafinest I agree. I feel like an LGBTQ History class is not what’s needed. There’s much more important shit going on like climate change, white supremacy and terrorism inside our “walls”. Growing up, I didn’t even learn much about the history of this country and it’s races.",mala,Large sample of climate tweets,2,1,0,0,0
2,1305168777517117452,The White House: Gen Z Demands The White House Declare Climate Change Emergency - Sign the Petition!  https://t.co/jM347GHYN3 via @Change,mala,Large sample of climate tweets,1,1,0,0,0
3,1238754849396678657,@VenusFlyTrap01 Commercial veg growing does not need to be grown on peat. Ornamental garden plants are not a priority when scientists argue we are entering a human-caused 6th mass extinction and facing catastrophic climate change!,mala,Large sample of climate tweets,1,1,0,0,0
4,1243973197738827776,"@CoreyBorden7 @ShotgunSpr Well, they are telling the orange man what needs to be done and he is petulantly refusing to listen. I'm not in board with Brix yet but the overwhelming majority of experts agree on what to do. Same with climate change, he refuses to listen to top experts or their consensus.",mala,Large sample of climate tweets,2,0,0,1,0
5,1116074590374068231,@LoriinUtah @tetragram I'm going to be on in how MSM is going to spin Barrs Spying accusations. Guaranteed they will try and make Trump responsible somehow or like AOC they will blame it on Climate change 😂😂😂🤣,mala,Large sample of climate tweets,1,0,1,0,0
6,1170027137669226496,"@nickgillespie Isn't funny how no matter what dire consequences come from climate change, it can all be fixed with money.",mala,Large sample of climate tweets,1,0,0,0,1
7,1165047921080881153,@BernieSanders Another lie by Crazy Bernie!  Climate change had NOTHING to do w/this fire! Years of Forest mismanagement by the state made this a huge disaster. Faulty P&amp;G electrical equipment started the fire. Socialist Bernie is pandering &amp; using lives lost for votes!   https://t.co/5LXKaaduTC,mala,Large sample of climate tweets,1,0,1,0,0
8,1097489126780063744,:”風化サイクル”を利用したCO2回収プラン スケールとコストで見れば 機器や素材の開発と比較にならないほど有望なソリューションでは 海洋と土壌の酸化対策としての可能性も  Guest post: How ‘enhanced weathering’ could slow climate change and boost crop yields  https://t.co/zTky4ifRa4,mala,Large sample of climate tweets,1,1,0,0,0
9,1160912480761241600,"The results from the research project Greenlandic Perspectives on Climate Change led by @keltonminor, are now public. In it, you can learn more about how the Greenlandic people experience and perceive the climates impact on their living conditions. @byforskning #SocialDataScience",mala,Large sample of climate tweets,1,1,0,0,0
10,1100031028184395776,"For consumer goods makers, climate change is a business changer  https://t.co/kQ4LcLZkgj  https://t.co/wluvOOIG4T",mala,Large sample of climate tweets,1,1,0,0,0
11,1130447421723488256,@ActNow_Climate I will have to check into  https://t.co/e8WWW5ieTK as we are now reaching a dangerous precedent in accelerated climate change never witnessed before.,mala,Large sample of climate tweets,1,0,0,1,0
12,1220664305219252224,@MarshaBlackburn Disgraceful record: Birther; Twitter banned her advertisement of her assertion about the sale of baby body parts; opposed ACA; rejects the scientific consensus on climate change; hampered DEA enforcement actions against drug distribution companies engaging in black-market sales.,mala,Large sample of climate tweets,1,1,0,0,0
13,1276302579908083715,"The new ‘COVID-19 Earth Observation Dashboard’ allows users to track changes in air and water quality, climate change, economic activity and agriculture.  https://t.co/wDojUNbYL9 #EOdata #SpaceData #COVID19",mala,Large sample of climate tweets,1,1,0,0,0
14,1098756907949449216,@deecurlynug Climate change,mala,Large sample of climate tweets,1,1,0,0,0
15,1101263182310498304,"I just asked @cathmckenna, minister of Environment and Climate change, to protect the threatened woodland boreal caribou. Will you join the movement and sign the petition?  https://t.co/oSpmVH5gm3 #soscaribou",mala,Large sample of climate tweets,1,0,0,0,1
16,1154477639723184128,"Climate change: “But even when we push our perspective to the earliest days of the Roman Empire, we cannot discern any event that is remotely equivalent — either in degree or extent — to the warming over the last few decades.”",mala,Large sample of climate tweets,1,0,0,1,0
